timestamp,load_mw
2024-01-01T00:00:00,2427.614
2024-01-01T01:00:00,2260.306
2024-01-01T02:00:00,2661.889
2024-01-01T03:00:00,2812.831
2024-01-01T04:00:00,3053.130
2024-01-01T05:00:00,3299.169
2024-01-01T06:00:00,3384.614
2024-01-01T07:00:00,3690.139
2024-01-01T08:00:00,3783.215
2024-01-01T09:00:00,4162.196
2024-01-01T10:00:00,3974.461
2024-01-01T11:00:00,3905.027
2024-01-01T12:00:00,3825.725
2024-01-01T13:00:00,3665.432
2024-01-01T14:00:00,3465.936
2024-01-01T15:00:00,3313.268
2024-01-01T16:00:00,3162.629
2024-01-01T17:00:00,2902.960
2024-01-01T18:00:00,2794.833
2024-01-01T19:00:00,2552.972
2024-01-01T20:00:00,2450.397
2024-01-01T21:00:00,2489.837
2024-01-01T22:00:00,2409.020
2024-01-01T23:00:00,2382.282
2024-01-02T00:00:00,2506.500
2024-01-02T01:00:00,2707.202
2024-01-02T02:00:00,2993.531
2024-01-02T03:00:00,3054.129
2024-01-02T04:00:00,3282.862
2024-01-02T05:00:00,3593.884
2024-01-02T06:00:00,3667.495
2024-01-02T07:00:00,3883.277
2024-01-02T08:00:00,4096.393
2024-01-02T09:00:00,4154.292
2024-01-02T10:00:00,4142.131
2024-01-02T11:00:00,4146.428
2024-01-02T12:00:00,3809.757
2024-01-02T13:00:00,3938.276
2024-01-02T14:00:00,3619.271
2024-01-02T15:00:00,3362.325
2024-01-02T16:00:00,3278.409
2024-01-02T17:00:00,3090.341
2024-01-02T18:00:00,2809.609
2024-01-02T19:00:00,2595.713
2024-01-02T20:00:00,2545.637
2024-01-02T21:00:00,2463.919
2024-01-02T22:00:00,2545.988
2024-01-02T23:00:00,2537.345
2024-01-03T00:00:00,2590.795
2024-01-03T01:00:00,2795.578
2024-01-03T02:00:00,2882.489
2024-01-03T03:00:00,3037.337
2024-01-03T04:00:00,3360.249
2024-01-03T05:00:00,3574.234
2024-01-03T06:00:00,3714.510
2024-01-03T07:00:00,3839.167
2024-01-03T08:00:00,4031.202
2024-01-03T09:00:00,3909.947
2024-01-03T10:00:00,4145.234
2024-01-03T11:00:00,4085.518
2024-01-03T12:00:00,3835.080
2024-01-03T13:00:00,3803.701
2024-01-03T14:00:00,3542.225
2024-01-03T15:00:00,3446.152
2024-01-03T16:00:00,3021.557
